"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"tech_achievement","1","id","character varying(64)","NO",,"主键 (Original: ta_achievement.id, ES: _source.ID)","CGWFWZ201305060001194120"
"tech_achievement","2","external_id","character varying(64)","YES",,"外部ID (Original: ta_achievement.f_id, ES: _source.F_ID)","4715107"
"tech_achievement","3","title","character varying(500)","YES",,"标题 (Original: ta_achievement.ti, ES: _source.TI)","城市化地区水资源可持续利用与管理"
"tech_achievement","4","title_alt","character varying(500)","YES",,"标题-备用 (Original: ta_achievement.title, ES: _source.TITLE)","城市化地区水资源可持续利用与管理"
"tech_achievement","5","patent_code","character varying(100)","YES",,"专利号 (Original: ta_achievement.pw, ES: _source.PW)",
"tech_achievement","6","registration_code","character varying(100)","YES",,"登记号 (Original: ta_achievement.aid, ES: _source.AID)",
"tech_achievement","7","security_level","character varying(50)","YES",,"密级 (Original: ta_achievement.ps, ES: _source.PS)","非密"
"tech_achievement","8","achievement_nature","character varying(100)","YES",,"成果性质 (Original: ta_achievement.ee, ES: _source.EE)",
"tech_achievement","9","achievement_form","character varying(100)","YES",,"成果形式 (Original: ta_achievement.tifo, ES: _source.TIFO)",
"tech_achievement","10","achievement_category","character varying(100)","YES",,"成果类别 (Original: ta_achievement.tme, ES: _source.TME)","技术服务"
"tech_achievement","11","is_leading_unit","character varying(50)","YES",,"是否负责人单位 (Original: ta_achievement.is_charge, ES: _source.ISCHARGE)","Y"
"tech_achievement","12","abstract","text","YES",,"摘要 (Original: ta_achievement.abstract, ES: _source.ABSTRACT)","本研究拟以系统生态学方法为指导和基础，采用理论分析与现场观察相结合，定位研究与面上研究相结合，传统技术与现代技术相结合的方法，对快速城市化区域次级河流以生态学机理为主线进行跨学科多层次研究，在应用生态系统、水资源研究新理论和现代技术的同时，注重挖掘已取得资料和有关专家的实际经验。该项目的实施，可为受人为干扰严重的城市水生态系统的恢复和重建提供理论基础和技术范式，将对三峡库区的生态环境保护、资源的可持续利用产生重大而积极的影响。本研究不仅是对城市水生态系统理论的进一步深化和拓展，对城市水生态系统空间结构、变化趋势研究具有重要的学术意义，而且对重庆乃至对全国城市河流的建设都具有启发和借鉴意义。"
"tech_achievement","13","description_detail","text","YES",,"详细介绍 (Original: ta_achievement.pnms, ES: _source.PNMS)",
"tech_achievement","14","description_intro","text","YES",,"简介 (Original: ta_achievement.intro, ES: _source.INTRO)","本研究拟以系统生态学方法为指导和基础，采用理论分析与现场观察相结合，定位研究与面上研究相结合，传统技术与现代技术相结合的方法，对快速城市化区域次级河流以生态学机理为主线进行跨学科多层次研究，在应用生态系统、水资源研究新理论和现代技术的同时，注重挖掘已取得资料和有关专家的实际经验。该项目的实施，可为受人为干扰严重的城市水生态系统的恢复和重建提供理论基础和技术范式，将对三峡库区的生态环境保护、资源的可持续利用产生重大而积极的影响。本研究不仅是对城市水生态系统理论的进一步深化和拓展，对城市水生态系统空间结构、变化趋势研究具有重要的学术意义，而且对重庆乃至对全国城市河流的建设都具有启发和借鉴意义。"
"tech_achievement","15","description_cab","text","YES",,"详细介绍-副本 (Original: ta_achievement.cab, ES: _source.CAB)","本研究拟以系统生态学方法为指导和基础，采用理论分析与现场观察相结合，定位研究与面上研究相结合，传统技术与现代技术相结合的方法，对快速城市化区域次级河流以生态学机理为主线进行跨学科多层次研究，在应用生态系统、水资源研究新理论和现代技术的同时，注重挖掘已取得资料和有关专家的实际经验。该项目的实施，可为受人为干扰严重的城市水生态系统的恢复和重建提供理论基础和技术范式，将对三峡库区的生态环境保护、资源的可持续利用产生重大而积极的影响。本研究不仅是对城市水生态系统理论的进一步深化和拓展，对城市水生态系统空间结构、变化趋势研究具有重要的学术意义，而且对重庆乃至对全国城市河流的建设都具有启发和借鉴意义。"
"tech_achievement","16","prospect_desc","text","YES",,"前景描述 (Original: ta_achievement.prnd, ES: _source.PRND)",
"tech_achievement","17","tech_scope_desc","text","YES",,"适用范围 (Original: ta_achievement.pnre, ES: _source.PNRE)",
"tech_achievement","18","application_desc","text","YES",,"应用情况 (Original: ta_achievement.pnio, ES: _source.PNIO)",
"tech_achievement","19","promotion_desc","text","YES",,"推广情况 (Original: ta_achievement.pntg, ES: _source.PNTG)",
"tech_achievement","20","property_desc","text","YES",,"属性说明 (Original: ta_achievement.tm, ES: _source.TM)",
"tech_achievement","21","publish_date_raw","character varying(50)","YES",,"发布日期 (Original: ta_achievement.dop, ES: _source.DOP)","2004-12-01"
"tech_achievement","22","start_date_raw","character varying(50)","YES",,"开始日期 (Original: ta_achievement.date_begin, ES: _source.DATE_BEGIN)","2003-01-01"
"tech_achievement","23","end_date_raw","character varying(50)","YES",,"结束日期 (Original: ta_achievement.date_end, ES: _source.DATE_END)","2003-01-01"
"tech_achievement","24","formation_date_raw","character varying(50)","YES",,"形成日期 (Original: ta_achievement.idt, ES: _source.IDT)","2004-10-16"
"tech_achievement","25","completion_date_raw","character varying(50)","YES",,"完成时间 (Original: ta_achievement.re, ES: _source.RE)","2021-06-22"
"tech_achievement","26","project_start_date_raw","character varying(50)","YES",,"立项时间 (Original: ta_achievement.on_time, ES: _source.ONTIME)",
"tech_achievement","27","evaluation_date_raw","character varying(50)","YES",,"评审日期 (Original: ta_achievement.ree, ES: _source.REE)",
"tech_achievement","28","registration_date_raw","character varying(50)","YES",,"登记日期 (Original: ta_achievement.date, ES: _source.DATE)","2004-12-01"
"tech_achievement","29","db_entry_date_raw","character varying(50)","YES",,"入库时间 (Original: ta_achievement.de, ES: _source.DE)",
"tech_achievement","30","year","integer","YES",,"年份 (Original: ta_achievement.year, ES: _source.YEAR)","2004"
"tech_achievement","31","quarter","integer","YES",,"季度 (Original: ta_achievement.quarter, ES: _source.QUARTER)","4"
"tech_achievement","32","quarter_alias","character varying(50)","YES",,"季度-别名 (Original: ta_achievement.jidu, ES: _source.JIDU)","200404"
"tech_achievement","33","year_month","character varying(20)","YES",,"年月 (Original: ta_achievement.nian_yue, ES: _source.NIANYUE)","200412"
"tech_achievement","34","evaluation_standard","text","YES",,"评价标准 (Original: ta_achievement.pnve, ES: _source.PNVE)",
"tech_achievement","35","maturity_level","character varying(100)","YES",,"成熟度 (Original: ta_achievement.ts, ES: _source.TS)",
"tech_achievement","36","search_weight","character varying(50)","YES",,"搜索权重 (Original: ta_achievement.weight, ES: _source.WEIGHT)","2"
"tech_achievement","37","investment_total","character varying(100)","YES",,"投资总额 (Original: ta_achievement.iat, ES: _source.IAT)","47万元"
"tech_achievement","38","economic_analysis","text","YES",,"经济分析 (Original: ta_achievement.indr, ES: _source.INDR)",
"tech_achievement","39","transfer_method","character varying(100)","YES",,"转让方式 (Original: ta_achievement.tc, ES: _source.TC)",
"tech_achievement","40","transfer_cost","character varying(100)","YES",,"转让费用 (Original: ta_achievement.tf, ES: _source.TF)",
